id,name,description,code,subType,subTypeNum,maxIncrease,price,dollar,originalDollar,inShop,inOffer,vipLevel,operation,consumeItemId,sortIndex,panelType,panelTab,quality,useLv,canOpenBatch,useLimitCount,total,expireTime,showRate,consecrateMeritValue,consecrateLiveValue,meili,qinmi,isFeiziGift,decomposeRende,skipLink,showInBag,isSkin,isBook,bookAttrs,isPiece,chanzhi,awardToString,awardShowString,
41011,黄金箱,使用后可随机获得2000-20000黄金,item011,宝箱,2,99999,0,100,0,1,0,0,3,,11,0,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:2006,,
41012,钢材,用于座驾强化,item012,功能,0,99999,0,0,0,0,0,0,0,,12,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41013,员工刷新券,用于刷新员工市场,item013,功能,0,99999,0,50,0,1,0,0,0,,13,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41014,注资卡,使用后可立即获得30点注资次数,item014,宝箱,0,99999,0,100,0,1,0,0,2,,14,0,0,2,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41015,十里挑一令,可在员工市场中招募对应品质的员工,item015,材料,3,99999,0,0,0,0,0,0,7,,15,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41016,百里挑一令,可在员工市场中招募对应品质的员工,item016,功能,0,99999,0,0,0,0,0,0,0,,16,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41017,万里挑一令,可在员工市场中招募对应品质的员工,item017,功能,0,99999,0,0,0,0,0,0,0,,17,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41018,大师员工箱,打开后获得1-5个十里挑一令或者百里挑一令,item018,宝箱,2,99999,0,75,0,1,0,0,3,,18,0,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,7:41015:1,,
41019,传奇员工箱,打开后获得1-5个百里挑一令或者万里挑一令,item019,宝箱,2,99999,0,120,0,1,0,0,3,,19,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,7:41016:1,,
41020,扩建许可证,游乐设施扩建的必备材料，扩建后会大幅提升产出速度,item020,功能,0,99999,0,200,0,1,0,0,0,,20,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41021,堕落天使礼包,开启后可获得撒旦、路西法、拉斐尔、米迦勒中选择一个聘用,item021,自选宝箱,5,99999,0,0,0,0,0,0,9,,21,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,10:10419:1,,
41022,蓝色座驾箱,打开后随机获得一辆五菱宏光、甲壳虫、阿特兹,item022,宝箱,2,99999,0,0,0,0,0,0,3,,22,0,0,2,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60201:1,,
41023,紫色座驾箱,打开后随机获得一辆奥迪TT、捷豹F-TYPE、特斯拉,item023,宝箱,2,99999,0,0,0,0,0,0,3,,23,0,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60301:1,,
41024,橙色座驾箱,打开后随机获得一辆R8、玛莎拉蒂GT、保时捷911,item024,宝箱,2,99999,0,0,0,0,0,0,3,,24,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60401:1,,
41025,橙色万能碎片,橙色员工进修时的通用材料,item025,丹药,1,99999,0,0,0,0,0,0,0,,25,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41026,绝世任选碎片包IV,开启礼包可从织田信长碎片*40、拿破仑碎片*40、大长今碎片*40、埃及艳后碎片*40、貂蝉碎片*40、西施碎片*40、杨玉环碎片*40、王昭君碎片*40中任选其一获得,item026,宝箱,2,99999,0,0,0,0,0,0,2,,26,0,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41027,资源任选箱,从金币、铝合金、培训资料、助理经验中任选一种资源获取,item027,宝箱,2,99999,0,0,0,0,0,0,2,,27,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41028,光之结晶,用于童话世界赠送员工,item028,功能,0,99999,0,150,0,0,0,0,0,,28,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
41029,萌新碎片包（小）,开启可随机获得1个绿色员工碎片,item029,宝箱,2,99999,0,0,0,0,0,0,3,,29,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,2:10101:1,,
41030,优良碎片包（小）,开启可随机获得1个蓝色员工碎片,item030,宝箱,2,99999,0,0,0,0,0,0,3,,30,0,0,2,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,2:10201:1,,
41031,稀有碎片包（小）,开启可随机获得1个紫色员工碎片,item031,宝箱,2,99999,0,0,0,0,0,0,3,,31,0,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,2:10301:1,,
41032,完美碎片包（小）,开启可随机获得1个橙色员工碎片,item032,宝箱,2,99999,0,0,0,0,0,0,3,,32,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,2:10401:1,,
41033,时装礼券,可在时装馆中兑换各种时装,item601,功能,0,99999,0,0,0,0,0,0,0,,33,0,0,5,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41034,城堡建设图,城堡扩建的必备材料，城堡扩建后会大幅提升点击城堡的收益,item034,功能,0,99999,0,0,0,0,0,0,0,,34,0,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41035,改装零件,用于橙色品质以上座驾改装的消耗材料,item035,功能,0,99999,0,0,0,0,0,0,0,,35,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41036,超速引擎,合成橙色座驾的必备材料,item036,功能,0,99999,0,0,0,0,0,0,0,,36,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41037,梦幻引擎,合成红色座驾的必备材料,item037,功能,0,99999,0,0,0,0,0,0,0,,37,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41038,特级红色坐驾箱,随机获得一辆法拉或毒药,item038,宝箱,2,99999,0,0,0,0,0,0,2,,38,0,0,5,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60503:1,,
41039,营销点数,举办营销活动，快速获得金钱,item039,功能,1,200,0,0,0,0,0,0,0,,39,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
49891,庆典积分,开启庆典时需要的道具。,item200,功能,0,99999,0,0,0,0,0,0,8,,0,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
41040,投资刷新卡,用于刷新投资项目,item040,功能,1,99999,0,100,0,1,0,0,0,,40,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40041,蝙蝠车零件,蝙蝠车零件，可合成蝙蝠车,car_601,功能,0,99999,0,0,0,0,0,0,0,,41,0,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
40042,老爷车零件,老爷车零件，可合成老爷车,car_602,功能,0,99999,0,0,0,0,0,0,0,,42,0,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
40043,重生卡,可以用来更改名称和形象。,item043,功能,0,99999,0,0,0,0,0,0,4,,43,34,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
41044,红色座驾箱,打开后随机获得一辆阿斯顿马丁、风之子、拉法,item038,宝箱,2,99999,0,0,0,0,0,0,3,,44,0,0,5,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60501:1,,
40045,座驾大礼包,打开后随机获得一辆保时捷911、迈凯伦、兰博基尼Urus,item024,宝箱,2,99999,0,0,0,0,0,0,3,,45,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60403:1,,
41046,VIP座驾礼包,打开后随机获得一辆宝马640、GTR、R8,item024,宝箱,2,99999,0,0,0,0,0,0,3,,46,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60304:1,,
41047,橙色座驾箱Ⅰ,打开后随机获得一辆玛莎拉蒂GT、保时捷911,item024,宝箱,2,99999,0,0,0,0,0,0,3,,47,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60402:1,,
41048,橙色座驾箱Ⅱ,打开后随机获得一辆保时捷911、迈凯伦,item024,宝箱,2,99999,0,0,0,0,0,0,3,,48,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60403:1,,
41049,橙色座驾箱Ⅲ,打开后随机获得一辆迈凯伦、兰博基尼Urus,item024,宝箱,2,99999,0,0,0,0,0,0,3,,49,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60404:1,,
41050,高级红色座驾箱,打开后随机获得一辆风之子、拉法,item038,宝箱,2,99999,0,0,0,0,0,0,3,,47,0,0,5,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60502:1,,
41051,座驾幸运大礼包,打开后随机获得一辆迈凯伦、兰博基尼Urus、阿斯顿马丁,item038,宝箱,2,99999,0,0,0,0,0,0,3,,48,0,0,5,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60404:1,,
41052,顶级红色座驾箱,打开后随机获得一辆迈凯伦、兰博基尼Urus、阿斯顿马丁,item038,宝箱,2,99999,0,0,0,0,0,0,3,,49,0,0,5,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,8:60504:1,,
41053,稀有碎片箱,随机5个紫色员工碎片,item042,宝箱,2,99999,0,0,0,0,0,0,3,,50,0,0,3,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,2:10301:5,,
41054,完美碎片箱,随机5个橙色员工碎片,item043,宝箱,2,99999,0,0,0,0,0,0,3,,51,0,0,4,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,2:10401:5,,
41055,完美礼包I,开启后可获得九尾狐、冰雪女王、英雄王、加百列中选择一个聘用,item021,自选宝箱,5,99999,0,0,0,0,0,0,9,,52,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,10:10401:1,10:10401:1|10:10402:1|10:10404:1|10:10405:1,
41056,完美礼包II,开启后可获得孙悟空、杨戬、后羿、神农中选择一个聘用,item021,自选宝箱,5,99999,0,0,0,0,0,0,9,,53,0,0,4,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,10:10403:1,10:10403:1|10:10416:1|10:10407:1|10:10405:1,
41057,仅用于跳转,跳转索引,item021,自选宝箱,0,99999,0,0,0,0,0,0,0,,54,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
41058,仅用于跳转,跳转索引,item021,自选宝箱,0,99999,0,0,0,0,0,0,0,,55,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,
40059,神级谋士随从,未知的随从，可随机得到1位神级谋士随从。（废弃）,item055,宝箱,2,99999,0,0,0,0,0,0,3,,59,0,0,5,0,1,0,0,0,神级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20082:1,3:20082:1|3:20084:1|3:20085:1|3:20086:1,
40060,丙级政客随从,未知的随从，可随机得到1位丙级政客随从。（废弃）,item060,宝箱,2,99999,0,0,0,0,0,0,3,,60,0,0,1,0,1,0,0,0,丙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20008:1,3:20008:1,
40061,乙级政客随从,未知的随从，可随机得到1位乙级政客随从。（废弃）,item060,宝箱,2,99999,0,0,0,0,0,0,3,,61,0,0,2,0,1,0,0,0,乙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20015:1,3:20015:1|3:20017:1|3:20019:1|3:20020:1,
40062,甲级政客随从,未知的随从，可随机得到1位甲级政客随从。（废弃）,item060,宝箱,2,99999,0,0,0,0,0,0,3,,62,0,0,3,0,1,0,0,0,甲级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20046:1,3:20046:1|3:20047:1|3:20048:1|3:20050:1,
40063,圣级政客随从,未知的随从，可随机得到1位圣级政客随从。（废弃）,item060,宝箱,2,99999,0,0,0,0,0,0,3,,63,0,0,4,0,1,0,0,0,圣级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20067:1,3:20067:1|3:20072:1|3:20073:1|3:20075:1,
40064,神级政客随从,未知的随从，可随机得到1位神级政客随从。（废弃）,item060,宝箱,2,99999,0,0,0,0,0,0,3,,64,0,0,5,0,1,0,0,0,神级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20083:1,3:20083:1|3:20087:1|3:20088:1|3:20089:1,
40065,丙级副将随从,未知的随从，可随机得到1位丙级副将随从。（废弃）,item065,宝箱,2,99999,0,0,0,0,0,0,3,,65,0,0,1,0,1,0,0,0,丙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20010:1,3:20010:1|3:20011:1|3:20012:1|3:20013:1,
40066,乙级副将随从,未知的随从，可随机得到1位乙级副将随从。（废弃）,item065,宝箱,2,99999,0,0,0,0,0,0,3,,66,0,0,2,0,1,0,0,0,乙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20032:1,3:20032:1|3:20033:1|3:20034:1|3:20035:1,
40067,甲级副将随从,未知的随从，可随机得到1位甲级副将随从。（废弃）,item065,宝箱,2,99999,0,0,0,0,0,0,3,,67,0,0,3,0,1,0,0,0,甲级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,3:20058:1,3:20058:1|3:20059:1|3:20060:1|3:20061:1,
40068,圣级副将随从,未知的随从，可随机得到1位圣级副将随从。（废弃）,item065,宝箱,2,99999,0,0,0,0,0,0,3,,68,0,0,4,0,1,0,0,0,圣级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:50,3:20078:1|3:20079:1|3:20080:1|3:20081:1,
40069,神级副将随从,未知的随从，可随机得到1位神级副将随从。（废弃）,item065,宝箱,2,99999,0,0,0,0,0,0,3,,69,0,0,5,0,1,0,0,0,神级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:100,3:20096:1|3:20097:1|3:20098:1|3:20099:1,
40070,随机丙级武器,打开后随机得到1件丙级武器。（废弃）,item070,宝箱,2,99999,0,0,0,0,0,0,3,,70,0,0,1,0,1,0,0,0,丙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:200,5:30003:1|5:30004:1|5:30005:1|5:30006:1|5:30007:1,
40071,随机乙级武器,打开后随机得到1件乙级武器。（废弃）,item070,宝箱,2,99999,0,0,0,0,0,0,3,,71,0,0,2,0,1,0,0,0,乙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:400,5:30008:1|5:30009:1|5:30010:1|5:30011:1|5:30012:1,
40072,随机甲级武器,打开后随机得到1件甲级武器。（废弃）,item070,宝箱,2,99999,0,0,0,0,0,0,3,,72,0,0,3,0,1,0,0,0,甲级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:800,5:30013:1|5:30014:1|5:30015:1|5:30016:1|5:30017:1,
40073,随机圣级武器,打开后随机得到1件圣级武器。（废弃）,item070,宝箱,2,99999,0,0,0,0,0,0,3,,73,0,0,4,0,1,0,0,0,圣级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:1600,5:30028:1|5:30029:1|5:30030:1|5:30031:1|5:30032:1,
40074,随机神级武器,打开后随机得到1件神级武器。（废弃）,item070,宝箱,2,99999,0,0,0,0,0,0,3,,74,0,0,5,0,1,0,0,0,神级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:3200,5:30049:1|5:30050:1|5:30051:1|5:30052:1|5:30053:1,
40075,随机丙级坐骑,打开后随机得到1件丙级坐骑。（废弃）,item075,宝箱,2,99999,0,0,0,0,0,0,3,,75,0,0,1,0,1,0,0,0,丙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:6400,5:30066:1|5:30067:1|5:30068:1|5:30069:1|5:30070:1,
40076,随机乙级坐骑,打开后随机得到1件乙级坐骑。（废弃）,item075,宝箱,2,99999,0,0,0,0,0,0,3,,76,0,0,2,0,1,0,0,0,乙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:12800,5:30071:1|5:30072:1|5:30073:1|5:30074:1|5:30075:1,
40077,随机甲级坐骑,打开后随机得到1件甲级坐骑。（废弃）,item075,宝箱,2,99999,0,0,0,0,0,0,3,,77,0,0,3,0,1,0,0,0,甲级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:25600,5:30076:1|5:30077:1|5:30078:1|5:30079:1|5:30080:1,
40078,随机圣级坐骑,打开后随机得到1件圣级坐骑。（废弃）,item075,宝箱,2,99999,0,0,0,0,0,0,3,,78,0,0,4,0,1,0,0,0,圣级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:51200,5:30086:1|5:30087:1|5:30088:1|5:30089:1|5:30090:1,
40079,随机神级坐骑,打开后随机得到1件神级坐骑。（废弃）,item075,宝箱,2,99999,0,0,0,0,0,0,3,,79,0,0,5,0,1,0,0,0,神级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:60000,5:30099:1|5:30100:1|5:30101:1|5:30102:1|5:30103:1,
40080,随机丙级珍品,打开后随机得到1件丙级珍品。（废弃）,item080,宝箱,2,99999,0,0,0,0,0,0,3,,80,0,0,1,0,1,0,0,0,丙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:80000,5:30111:1|5:30112:1|5:30113:1,
40081,随机乙级珍品,打开后随机得到1件乙级珍品。（废弃）,item080,宝箱,2,99999,0,0,0,0,0,0,3,,81,0,0,2,0,1,0,0,0,乙级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:100000,5:30114:1|5:30115:1|5:30116:1|5:30117:1|5:30118:1,
40082,随机甲级珍品,打开后随机得到1件甲级珍品。（废弃）,item080,宝箱,2,99999,0,0,0,0,0,0,3,,82,0,0,3,0,1,0,0,0,甲级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:120000,5:30119:1|5:30120:1|5:30121:1|5:30122:1|5:30123:1,
40083,随机圣级珍品,打开后随机得到1件圣级珍品。（废弃）,item080,宝箱,2,99999,0,0,0,0,0,0,3,,83,0,0,4,0,1,0,0,0,圣级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:140000,5:30131:1|5:30132:1|5:30133:1|5:30134:1|5:30135:1,
40084,随机神级珍品,打开后随机得到1件神级珍品。（废弃）,item080,宝箱,2,99999,0,0,0,0,0,0,3,,84,0,0,5,0,1,0,0,0,神级品质100%,0,0,0,0,0,0,0,1,0,0,,0,0,7:41004:160000,5:30143:1|5:30144:1|5:30145:1|5:30146:1|5:30147:1,
40085,黄金矿石,珍贵的材料，可以用来炼制各种宝物。（废弃）,item085,材料,3,99999,0,0,0,0,0,0,7,,85,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40086,白银矿石,珍贵的材料，可以用来炼制各种宝物。（废弃）,item086,材料,3,99999,0,0,0,0,0,0,7,,86,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40087,青铜矿石,珍贵的材料，可以用来炼制各种宝物。（废弃）,item087,材料,3,99999,0,0,0,0,0,0,7,,87,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40088,七彩灵芝,珍贵的材料，可以用来炼制体力丹，仙力丹，精力丹。（废弃）,item001,材料,3,99999,0,0,0,0,0,0,7,,88,4,11,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40089,迷之光球,珍贵的材料，可以用来炼制黄金宝箱，白银宝箱，青铜宝箱。（废弃）,item089,材料,3,99999,0,0,0,0,0,0,7,,89,4,11,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40090,幸运之星,珍贵的材料，可以用来炼制黄金钥匙，白银钥匙，青铜钥匙。（废弃）,item090,材料,3,99999,0,0,0,0,0,0,7,,90,4,11,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40091,女娲之泪,珍贵的材料，可以用来炼制升阶书，晋升书，融合书。（废弃）,item091,材料,3,99999,0,0,0,0,0,0,7,,91,4,11,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40092,千年人参,珍贵的材料，可以用来炼制体力丹。（废弃）,item001,材料,3,99999,0,0,0,0,0,0,7,,92,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40093,千年灵芝,珍贵的材料，可以用来炼制仙力丹。（废弃）,item001,材料,3,99999,0,0,0,0,0,0,7,,93,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40094,千年雪莲,珍贵的材料，可以用来炼制精力丹。（废弃）,item001,材料,3,99999,0,0,0,0,0,0,7,,94,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40095,宝物精华,珍贵的材料，可以用来制作各种宝物。（废弃）,item095,材料,3,99999,5000,0,0,1,0,0,7,,95,4,9,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,8,,,
40096,随从精华,珍贵的材料，可以用来聘用各种随从。（废弃）,item096,材料,3,99999,5000,0,0,1,0,0,7,,96,4,10,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,8,,,
40097,七宝如意,将领升阶所必需的道具，非常的珍贵。（废弃）,item097,丹药,1,99999,0,50,0,1,0,0,8,,97,2,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40098,三界令牌,将领升阶所必需的道具，非常的珍贵。（废弃）,item098,丹药,1,99999,0,100,0,1,0,0,8,,98,2,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40099,天宫宝玉,绝世奇珍，在秘宝兑换中可以用来兑换各种宝物。（废弃）,item099,功能,0,99999,0,0,0,0,0,0,6,,99,5,15,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40100,天地灵气,珍贵的材料，可以用来炼制升阶书。（废弃）,item100,材料,3,99999,0,0,0,0,0,0,7,,100,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40101,月华露珠,珍贵的材料，可以用来炼制晋升书。（废弃）,item101,材料,3,99999,0,0,0,0,0,0,7,,101,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40102,蛟龙牙,珍贵的材料，可以用来炼制融合书。（废弃）,item102,材料,3,99999,0,0,0,0,0,0,7,,102,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40103,和田宝玉,珍贵的材料，可以用来炼制七宝如意。（废弃）,item103,材料,3,99999,0,0,0,0,0,0,7,,103,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40104,天外陨铁,珍贵的材料，可以用来炼制三界令牌。（废弃）,item104,材料,3,99999,0,0,0,0,0,0,7,,104,4,11,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40105,万年寒冰,珍贵的材料，可以用来炼制天宫宝玉。（废弃）,item105,材料,3,99999,0,0,0,0,0,0,7,,105,4,11,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
40106,乾坤铜鼎,珍贵的材料，可以用来炼制七宝如意，三界令牌，天宫宝玉。（废弃）,item106,材料,3,99999,0,0,0,0,0,0,7,,106,4,11,2,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,,,
